Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
80,1e-08,1e-08,1e-08,0.0,81.0,76564.6,11001.3,16200
81,1e-08,1e-08,1e-08,0.0,73.0,69570.9,9991.8,16400
82,1e-08,1e-08,1e-08,0.0,79.0,73213.9,10035.5,16600
83,1e-08,1e-08,1e-08,0.0,69.0,66268.2,8599.3,16800
84,1e-08,1e-08,1e-08,0.0,83.0,76824.5,10243.4,17000
85,1e-08,1e-08,1e-08,0.0,73.0,67287.7,9166.599999999999,17200
86,1e-08,1e-08,1e-08,0.0,78.0,73239.0,10243.2,17400
87,1e-08,1e-08,1e-08,0.0,89.0,85824.0,11287.5,17600
88,1e-08,1e-08,1e-08,0.0,70.0,62673.1,9444.6,17800
89,1e-08,1e-08,1e-08,0.0,72.0,70007.8,9322.099999999999,18000
90,1e-08,1e-08,1e-08,0.0,76.0,72486.7,10123.400000000001,18200
91,1e-08,1e-08,1e-08,0.0,88.0,81709.0,11069.7,18400
92,1e-08,1e-08,1e-08,0.0,73.0,69839.79999999999,9948.5,18600
93,1e-08,1e-08,1e-08,0.0,76.0,68508.5,9866.5,18800
94,1e-08,1e-08,1e-08,0.0,72.0,64685.0,9372.7,19000
95,1e-08,1e-08,1e-08,0.0,76.0,75331.4,9251.3,19200
96,1e-08,1e-08,1e-08,0.0,69.0,63106.9,8212.199999999999,19400
97,1e-08,1e-08,1e-08,0.0,75.0,71688.20000000001,10152.3,19600
98,1e-08,1e-08,1e-08,0.0,79.0,74239.20000000001,10109.6,19800
99,1e-08,1e-08,1e-08,0.0,79.0,79716.80000000002,10525.5,20000
100,1e-08,1e-08,1e-08,0.0,74.0,74691.40000000001,9125.1,20200
101,1e-08,1e-08,1e-08,0.0,77.0,71835.1,10171.699999999999,20400
102,1e-08,1e-08,1e-08,0.0,72.0,73244.3,9700.1,20600
103,1e-08,1e-08,1e-08,0.0,81.0,77788.29999999999,10390.3,20800
104,1e-08,1e-08,1e-08,0.0,76.0,69751.5,9913.5,21000
105,1e-08,1e-08,1e-08,0.0,77.0,75553.1,9951.5,21200
106,1e-08,1e-08,1e-08,0.0,78.0,70505.70000000001,9698.0,21400
107,1e-08,1e-08,1e-08,0.0,70.0,63356.600000000006,9415.4,21600
108,1e-08,1e-08,1e-08,0.0,81.0,72338.5,9721.1,21800
109,1e-08,1e-08,1e-08,0.0,76.0,78099.4,10044.3,22000
110,1e-08,1e-08,1e-08,0.0,79.0,73690.20000000001,10636.400000000001,22200
111,1e-08,1e-08,1e-08,0.0,73.0,75107.5,10145.2,22400
112,1e-08,1e-08,1e-08,0.0,84.0,77815.5,10885.0,22600
113,1e-08,1e-08,1e-08,0.0,72.0,71472.9,9880.9,22800
114,1e-08,1e-08,1e-08,0.0,78.0,67164.4,9987.7,23000
115,1e-08,1e-08,1e-08,0.0,79.0,77378.2,10128.2,23200
116,1e-08,1e-08,1e-08,0.0,82.0,78307.1,10930.3,23400
117,1e-08,1e-08,1e-08,0.0,70.0,68367.0,9259.8,23600
118,1e-08,1e-08,1e-08,0.0,65.0,53643.1,7900.499999999999,23800
119,1e-08,1e-08,1e-08,0.0,81.0,78386.5,10722.4,24000
120,1e-08,1e-08,1e-08,0.0,83.0,74888.79999999999,11025.099999999999,24200
121,1e-08,1e-08,1e-08,0.0,82.0,75577.79999999999,11174.900000000001,24400
122,1e-08,1e-08,1e-08,0.0,78.0,74367.1,10140.5,24600
123,1e-08,1e-08,1e-08,0.0,84.0,80693.6,11259.3,24800
124,1e-08,1e-08,1e-08,0.0,77.0,75581.6,10687.6,25000
125,1e-08,1e-08,1e-08,0.0,82.0,75429.5,11125.599999999999,25200
126,1e-08,1e-08,1e-08,0.0,75.0,73630.6,10111.9,25400
127,1e-08,1e-08,1e-08,0.0,77.0,70364.3,9544.599999999999,25600
128,1e-08,1e-08,1e-08,0.0,73.0,71168.90000000001,9183.6,25800
129,1e-08,1e-08,1e-08,0.0,75.0,67875.8,9408.8,26000
130,1e-08,1e-08,1e-08,0.0,71.0,71924.0,9317.9,26200
131,1e-08,1e-08,1e-08,0.0,73.0,69094.7,10086.3,26400
132,1e-08,1e-08,1e-08,0.0,69.0,63730.9,8989.8,26600
133,1e-08,1e-08,1e-08,0.0,83.0,78372.70000000001,11555.1,26800
134,1e-08,1e-08,1e-08,0.0,73.0,69227.09999999999,10466.4,27000
135,1e-08,1e-08,1e-08,0.0,69.0,66758.5,8761.099999999999,27200
136,1e-08,1e-08,1e-08,0.0,73.0,71709.2,9960.8,27400
137,1e-08,1e-08,1e-08,0.0,83.0,77200.3,10875.4,27600
138,1e-08,1e-08,1e-08,0.0,72.0,69939.3,9382.3,27800
139,1e-08,1e-08,1e-08,0.0,76.0,69572.3,10339.3,28000
140,1e-08,1e-08,1e-08,0.0,79.0,72016.9,10036.5,28200
141,1e-08,1e-08,1e-08,0.0,82.0,78378.0,9868.6,28400
