Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
0,0.41640233592051273,1e-08,0.2564716505329546,0.12570665184413077,18.0,20311.5,2465.7,150
1,0.41640233592051273,1e-08,0.2977714602966847,0.08901739505523562,18.0,20311.5,2465.7,300
2,0.42098920806036605,1e-08,0.3100033198017612,0.09748702968135248,21.0,18663.100000000002,2479.1,450
3,0.42259416528081734,1e-08,0.3069149194097355,0.11484861411116726,19.0,20679.4,2489.0,600
4,0.42259416528081734,1e-08,0.3158128003556421,0.10751714478652001,19.0,20679.4,2489.0,750
5,0.42259416528081734,1e-08,0.3097990409458742,0.12553707211256335,19.0,20679.4,2489.0,900
6,0.4243528718317997,1e-08,0.3211700141509615,0.11896141282422687,22.0,20258.2,2459.6,1050
7,0.43124817742625293,1e-08,0.3077899649414882,0.13779236246666032,22.0,21333.399999999998,2492.4,1200
8,0.43124817742625293,1e-08,0.28133548288195,0.1579066507910738,22.0,21333.399999999998,2492.4,1350
9,0.43124817742625293,1e-08,0.3109069715442037,0.14442073605746186,22.0,21333.399999999998,2492.4,1500
10,0.4340665741880955,1e-08,0.30795345431335874,0.15152908233562262,23.0,21576.2,2492.6,1650
11,0.4340665741880955,1e-08,0.28624198878200663,0.16202929888812712,23.0,21576.2,2492.6,1800
12,0.4340665741880955,1e-08,0.30947371793342426,0.14391557879462288,23.0,21576.2,2492.6,1950
13,0.4340665741880955,1e-08,0.3193690632947056,0.1414786704570523,23.0,21576.2,2492.6,2100
14,0.437977246143273,1e-08,0.31901037027117707,0.14262069417350834,24.0,24649.4,2451.2000000000003,2250
15,0.4458204510245904,1e-08,0.29643954355267754,0.16681279740871138,25.0,26136.300000000003,2467.2000000000003,2400
16,0.4458204510245904,1e-08,0.3109998380980736,0.16035606557929932,25.0,26136.300000000003,2467.2000000000003,2550
17,0.4483539036074305,1e-08,0.2984722181093167,0.1605590493363152,25.0,25789.6,2492.3,2700
18,0.4483539036074305,1e-08,0.3049544247250112,0.1599640666131314,25.0,25789.6,2492.3,2850
