Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
0,0.013935400410955012,1e-08,6.968695205477506e-05,0.0009829143665045505,18.0,14997.7,2271.7000000000003,200
1,0.01818711677170723,1e-08,0.010720103926093169,0.006147371519061555,21.0,18328.8,2481.8,400
2,0.01818711677170723,1e-08,0.01077420326752786,0.00646726583660203,21.0,18328.8,2481.8,600
3,0.01818711677170723,1e-08,0.011356859912323597,0.006409388826565343,21.0,18328.8,2481.8,800
4,0.020796306993952827,1e-08,0.011307400030991186,0.006862953225542952,21.0,19522.0,2311.7,1000
5,0.022201956473985856,1e-08,0.011244436936938697,0.00720957502792241,23.0,19891.800000000003,2416.5,1200
6,0.022201956473985856,1e-08,0.010986553322237297,0.007737488616466605,23.0,19891.800000000003,2416.5,1400
7,0.022201956473985856,1e-08,0.012386553119859764,0.007411700346039187,23.0,19891.800000000003,2416.5,1600
8,0.022807066965480776,1e-08,0.012198563916369864,0.007805932339038527,23.0,21055.4,2490.0,1800
9,0.023534446243616395,1e-08,0.013273922685053586,0.007630068138382451,23.0,20944.300000000003,2400.2999999999997,2000
10,0.024818777135688558,1e-08,0.012682415749146294,0.008457610432392624,24.0,21610.5,2450.6,2200
11,0.025733201086623476,1e-08,0.012906478477604268,0.008762307450997,25.0,21830.8,2487.1000000000004,2400
12,0.028654170499625018,1e-08,0.014534962619451041,0.008568703985687353,25.0,23422.4,2396.3999999999996,2600
13,0.028654170499625018,1e-08,0.012492368511573492,0.009746985594069387,25.0,23422.4,2396.3999999999996,2800
14,0.028654170499625018,1e-08,0.014783340468249856,0.009551170345319448,25.0,23422.4,2396.3999999999996,3000
15,0.028654170499625018,1e-08,0.01565645196781614,0.009745438133153083,25.0,23422.4,2396.3999999999996,3200
16,0.028654170499625018,1e-08,0.017446622348958062,0.009020103335375326,25.0,23422.4,2396.3999999999996,3400
17,0.028819468983334158,1e-08,0.015217885433585175,0.011039040844559051,25.0,23477.9,2388.3,3600
18,0.03133129776432896,1e-08,0.018573677978944707,0.009999905978914064,27.0,24392.4,2465.0,3800
19,0.03232802080597309,1e-08,0.018035413061972913,0.010900108958813225,26.0,25944.5,2446.9,4000
20,0.03255570642841598,1e-08,0.019792275084789077,0.010076549331361958,25.0,25060.4,2256.7000000000003,4200
21,0.032718852490967815,1e-08,0.01905947991862124,0.011462939016427155,26.0,24968.4,2326.7,4400
22,0.03550361460070776,1e-08,0.020520426911830193,0.010993101951663063,25.0,24731.0,2042.1,4600
23,0.03550361460070776,1e-08,0.021225860576073022,0.011362083165365468,25.0,24731.0,2042.1,4800
24,0.0405722706139216,1e-08,0.02099320922751868,0.012025205564979614,30.0,28315.100000000002,2455.2,5000
25,0.0405722706139216,1e-08,0.02056094342690464,0.013001687113008328,30.0,28315.100000000002,2455.2,5200
26,0.0405722706139216,1e-08,0.023462875021775787,0.01218229032229884,30.0,28315.100000000002,2455.2,5400
27,0.041605906858634446,1e-08,0.022769368072045316,0.013471318746332448,29.0,28645.600000000002,2341.4,5600
