Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
0,0.02144130264538354,1e-08,0.010340153930197668,0.005621191497518848,22.0,20568.8,2474.8999999999996,200
1,0.0225336013329251,1e-08,0.010991798399495115,0.0065891921777981805,22.0,21392.2,2449.2,400
2,0.02631935819844867,1e-08,0.01118250105783957,0.008023064548630086,22.0,24767.899999999998,2427.7999999999997,600
3,0.0268401255821482,1e-08,0.013063500968157232,0.008477412782900727,21.0,22556.0,2069.5,800
4,0.026869738554080796,1e-08,0.012634185156129085,0.009441427373885996,24.0,22696.6,2377.3,1000
5,0.02967024746426652,1e-08,0.013902069250575749,0.010167929979216221,24.0,21769.1,2064.8999999999996,1200
6,0.030128175780874653,1e-08,0.014229632693182368,0.010703660080658237,23.0,24480.2,2191.5,1400
7,0.031764195185044246,1e-08,0.015190562875831226,0.011105063524440779,24.0,24693.5,2187.9,1600
8,0.032591406706838376,1e-08,0.016340940710090065,0.011695044747164537,25.0,22988.1,2067.8,1800
9,0.03314354519151066,1e-08,0.017380762527985913,0.01164951654773308,25.0,27527.3,2434.8999999999996,2000
10,0.034730832580686787,1e-08,0.017031861070352372,0.012693318630254387,27.0,27054.4,2466.3999999999996,2200
11,0.034842040814926895,1e-08,0.015572863864235877,0.013515632309080284,26.0,26984.0,2361.3,2400
12,0.034842040814926895,1e-08,0.019559318229214005,0.012952356595507095,26.0,26984.0,2361.3,2600
13,0.036490382705410315,1e-08,0.016794207337724944,0.014213905699847717,26.0,26552.9,2218.6,2800
14,0.0385107756353696,1e-08,0.017776592133530226,0.014477854832411065,27.0,26655.6,2191.5,3000
15,0.0385107756353696,1e-08,0.017856128993044885,0.01483469687715972,27.0,26655.6,2191.5,3200
16,0.03924813683137933,1e-08,0.021497546929859838,0.014256558781754287,27.0,29462.7,2376.7999999999997,3400
17,0.03968663224010067,1e-08,0.020587564240669706,0.01538498054040455,29.0,28898.3,2476.3,3600
18,0.040731651286886716,1e-08,0.023120268708336472,0.015587499534143389,27.0,28437.199999999997,2210.5,3800
19,0.04198533029732744,1e-08,0.020018208758434977,0.017158037765613855,28.0,29320.4,2293.0,4000
20,0.04263370236881093,1e-08,0.024308533708667205,0.016311225149056918,28.0,29765.399999999998,2292.3999999999996,4200
21,0.0429735593739672,1e-08,0.022310273783598206,0.017458123030058427,29.0,28687.6,2270.2,4400
22,0.0429735593739672,1e-08,0.023553452619791155,0.017304091887382335,29.0,28687.6,2270.2,4600
23,0.0435843717146405,1e-08,0.025780534067482028,0.017042563585041654,28.0,27047.300000000003,2037.6,4800
24,0.0435843717146405,1e-08,0.025411757492862397,0.017518165983159834,28.0,27047.300000000003,2037.6,5000
25,0.044878925453401455,1e-08,0.024011024445626607,0.018425168597286778,30.0,31643.399999999998,2480.5,5200
26,0.046148397975739254,1e-08,0.02592431527647708,0.01822065207527805,31.0,29856.5,2351.9,5400
27,0.047672208302188934,1e-08,0.02558411500287619,0.018793679635338918,31.0,31069.2,2369.2,5600
28,0.050951232127920285,1e-08,0.02550786531712384,0.019233917884686223,33.0,32293.0,2452.7,5800
29,0.050951232127920285,1e-08,0.026277701272307795,0.01982877484841246,33.0,32293.0,2452.7,6000
30,0.05173570806482609,1e-08,0.029256294360481397,0.019537442818970668,33.0,33204.6,2483.7,6200
31,0.05173570806482609,1e-08,0.027389193126132864,0.020224115329097046,33.0,33204.6,2483.7,6400
32,0.05178180349618022,1e-08,0.029065230150737496,0.020131164302943715,32.0,32087.2,2325.3,6600
33,0.05178180349618022,1e-08,0.02914721847280047,0.020616182514994252,32.0,32087.2,2325.3,6800
34,0.05215146208904917,1e-08,0.027870959119545066,0.021258870954676393,33.0,32923.0,2443.0,7000
35,0.05215146208904917,1e-08,0.028072677396295743,0.021975969093708775,33.0,32923.0,2443.0,7200
36,0.0522492633443542,1e-08,0.028603912673746262,0.022218251812852106,33.0,33307.399999999994,2466.9,7400
37,0.0522492633443542,1e-08,0.029549884829797427,0.02266937978541276,33.0,33307.399999999994,2466.9,7600
38,0.053330981172361736,1e-08,0.03125589588077987,0.022439285390525355,33.0,33055.8,2398.6,7800
39,0.054216052195883414,1e-08,0.031577288700914315,0.02266045592833216,33.0,33296.2,2376.6,8000
40,0.054216052195883414,1e-08,0.03295464484258809,0.022095431923840926,33.0,33296.2,2376.6,8200
41,0.0547240191053661,1e-08,0.029202738718187175,0.023581710509993675,34.0,33941.3,2472.9,8400
42,0.055991989282442645,1e-08,0.03209542740684294,0.023286764859637873,34.0,34986.100000000006,2491.3,8600
43,0.055991989282442645,1e-08,0.028702802055852707,0.02436683314937656,34.0,34986.100000000006,2491.3,8800
44,0.05603177442594518,1e-08,0.034055075344822466,0.023360820926723154,34.0,34940.7,2486.3,9000
45,0.05619326424328754,1e-08,0.029264112907921965,0.02511670083957389,34.0,34751.1,2465.7,9200
46,0.05619326424328754,1e-08,0.0307585595725889,0.025065204997702106,34.0,34751.1,2465.7,9400
47,0.05674872234775117,1e-08,0.03134368029748078,0.025494940186993997,33.0,34373.6,2344.0,9600
48,0.05674872234775117,1e-08,0.03343582221075951,0.02551067852217763,33.0,34373.6,2344.0,9800
49,0.05692668971910474,1e-08,0.032063493628935846,0.025816652596810843,34.0,35196.1,2465.1000000000004,10000
50,0.05692668971910474,1e-08,0.03568901733418569,0.02492297694264365,34.0,35196.1,2465.1000000000004,10200
51,0.05692668971910474,1e-08,0.03466288297285931,0.02555582339291669,34.0,35196.1,2465.1000000000004,10400
52,0.05692668971910474,1e-08,0.03220576715767548,0.026425358952495617,34.0,35196.1,2465.1000000000004,10600
53,0.05802289520724641,1e-08,0.034646909662533566,0.02613550993448187,33.0,35119.9,2342.3,10800
54,0.05802289520724641,1e-08,0.03512357693395545,0.02642392400711605,33.0,35119.9,2342.3,11000
55,0.05802289520724641,1e-08,0.03220529553755172,0.027198498283208854,33.0,35119.9,2342.3,11200
56,0.05802289520724641,1e-08,0.03789563870334571,0.025495156171939034,33.0,35119.9,2342.3,11400
57,0.05802289520724641,1e-08,0.033089741157076656,0.026821361398795703,33.0,35119.9,2342.3,11600
58,0.05802289520724641,1e-08,0.036431427108428685,0.02598548463531486,33.0,35119.9,2342.3,11800
59,0.05802289520724641,1e-08,0.03653363571292184,0.02630368793514707,33.0,35119.9,2342.3,12000
60,0.05876244776191854,1e-08,0.03657139184150492,0.026338713545255778,35.0,35371.8,2470.6,12200
