Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
0,0.20508373751014952,1e-08,0.10925338271238687,0.0531670910345675,12.0,13859.1,1189.4,200
1,0.2197728474902842,1e-08,0.13490458535298033,0.028591619326166138,12.0,15476.599999999999,1239.4,400
2,0.2197728474902842,1e-08,0.14209528908054356,0.028967465573375154,12.0,15476.599999999999,1239.4,600
3,0.2197728474902842,0.09124475172882904,0.1503194929863808,0.027007788588974218,12.0,15476.599999999999,1239.4,800
4,0.22937728464069182,0.10358486153074041,0.1573443894674328,0.027397327994663188,14.0,15145.8,1162.1,1000
5,0.23181393085061708,0.11605483115675909,0.16783437662371425,0.02507107860497372,15.0,16245.9,1233.4,1200
6,0.26427749599958017,0.13110191886351852,0.17397764431426188,0.02497425911436416,11.0,11476.0,764.2,1400
7,0.26427749599958017,0.13136571291191154,0.1784637722715916,0.025769952902921275,11.0,11476.0,764.2,1600
8,0.28100991583333695,0.1357631525069719,0.18317688435375412,0.026135013178024236,10.0,11081.9,694.0,1800
9,0.29161147500884693,0.13710487261870877,0.18958751557623582,0.027691836027388044,9.0,9339.3,563.6,2000
10,0.29161147500884693,0.1459072401592461,0.19440633434897855,0.029536775538430735,9.0,9339.3,563.6,2200
11,0.29161147500884693,0.14842186559771353,0.19470819588455718,0.02996512507470268,9.0,9339.3,563.6,2400
12,0.29161147500884693,0.1552967599003304,0.20017260538911452,0.02864544925844893,9.0,9339.3,563.6,2600
13,0.29161147500884693,0.15813359653589049,0.20434972208850624,0.030352209070702973,9.0,9339.3,563.6,2800
14,0.29161147500884693,0.161794108821714,0.20704562878366203,0.033316408369169145,9.0,9339.3,563.6,3000
15,0.30457488772319363,0.15897893968147653,0.20892570460756765,0.03272339008495254,10.0,11160.0,644.8,3200
16,0.30457488772319363,0.1648396792710746,0.21296287572119102,0.03394566140657975,10.0,11160.0,644.8,3400
17,0.30457488772319363,0.16358864953082033,0.2165426655270436,0.034255695682922825,10.0,11160.0,644.8,3600
18,0.30457488772319363,0.16804847799629768,0.220671710372836,0.034990985222602154,10.0,11160.0,644.8,3800
19,0.30922411715541875,0.1686341471385893,0.2197524450013679,0.032739570882921065,9.0,10107.4,575.1999999999999,4000
20,0.30922411715541875,0.1786838027665691,0.2263555156688487,0.033779752098713554,9.0,10107.4,575.1999999999999,4200
21,0.31324657082874674,0.1805472477054854,0.23298153166335986,0.03503961800531833,10.0,11321.2,636.0,4400
22,0.33739794185010824,0.180536638392433,0.23496012737839744,0.03492119850868425,9.0,9868.6,514.7,4600
23,0.33739794185010824,0.1832304148159478,0.23657892806135447,0.03729152969089085,9.0,9868.6,514.7,4800
24,0.33739794185010824,0.18190361298069263,0.23827016986144836,0.03452435724366098,9.0,9868.6,514.7,5000
25,0.33739794185010824,0.18500684589719849,0.23938255493720845,0.03661205400123596,9.0,9868.6,514.7,5200
26,0.33739794185010824,0.1865885724026698,0.2455232906778933,0.03751906385016818,9.0,9868.6,514.7,5400
27,0.33911157206443626,0.18491248670499177,0.24687125544956387,0.03756458237936738,10.0,11082.7,575.1,5600
28,0.33911157206443626,0.18650451332062928,0.24917176737343705,0.04156962684146327,10.0,11082.7,575.1,5800
29,0.33911157206443626,0.18854238352688335,0.24885731881129858,0.04061618210610492,10.0,11082.7,575.1,6000
30,0.3552707388521964,0.1928713327286086,0.2539191743770562,0.04008486268883591,9.0,10389.5,514.6,6200
31,0.3552707388521964,0.19208177237508367,0.2605220284040146,0.041320601110997876,9.0,10389.5,514.6,6400
32,0.3552707388521964,0.1934791069132457,0.2615238031257009,0.04173371346655328,9.0,10389.5,514.6,6600
33,0.3552707388521964,0.1909161668172613,0.26310399230048626,0.04006255902766745,9.0,10389.5,514.6,6800
34,0.3627025252743607,0.20434589549418763,0.26670186210600993,0.041748973061009456,8.0,8885.8,431.09999999999997,7000
35,0.3627025252743607,0.20372441193113655,0.2684355720135322,0.04117891627469481,8.0,8885.8,431.09999999999997,7200
36,0.3627025252743607,0.19860950767634333,0.26738600911407384,0.0421870844988356,8.0,8885.8,431.09999999999997,7400
37,0.3926790841961839,0.20217333517186678,0.2647956666425981,0.043662312000596754,7.0,7946.700000000001,356.09999999999997,7600
38,0.3926790841961839,0.20101906532410896,0.2606612229798189,0.042188441099567556,7.0,7946.700000000001,356.09999999999997,7800
39,0.3926790841961839,0.20317415222281804,0.26192768960057405,0.04429890523087056,7.0,7946.700000000001,356.09999999999997,8000
40,0.3926790841961839,0.1993629033757988,0.264075001985724,0.04498785845980937,7.0,7946.700000000001,356.09999999999997,8200
41,0.3926790841961839,0.19528806501409143,0.2630807073027494,0.04708966193371468,7.0,7946.700000000001,356.09999999999997,8400
42,0.3926790841961839,0.19926657166004916,0.2644524319821009,0.0455277659428669,7.0,7946.700000000001,356.09999999999997,8600
43,0.3926790841961839,0.19706081931519434,0.26433294789886186,0.04861886149247103,7.0,7946.700000000001,356.09999999999997,8800
44,0.41051015326741436,0.19480615823109224,0.2694516642690445,0.05352452654659081,9.0,9989.7,428.2,9000
45,0.412038802811477,0.19860453110142662,0.26668443163401734,0.05315558834042181,9.0,10043.3,428.9,9200
46,0.412038802811477,0.19487125806833505,0.2686198008684042,0.057923015379499385,9.0,10043.3,428.9,9400
47,0.4824716438445687,0.1923764633781928,0.27275877449865754,0.06254056572415713,7.0,7792.8,284.2,9600
48,0.4824716438445687,0.1907482629793446,0.27334512210828016,0.06252881946656937,7.0,7792.8,284.2,9800
49,0.4824716438445687,0.18670591730248887,0.280780685215886,0.0701685795650561,7.0,7792.8,284.2,10000
50,0.4824716438445687,0.20003771111369797,0.28396992138524835,0.0669312239607618,7.0,7792.8,284.2,10200
51,0.49281944213561635,0.2020888707198934,0.29701359549778483,0.07496359484263491,8.0,9066.3,323.7,10400
52,0.49281944213561635,0.20026841151020117,0.3008724480251844,0.07588508688361226,8.0,9066.3,323.7,10600
53,0.49281944213561635,0.2010951930394804,0.30386206358230616,0.07915077390808463,8.0,9066.3,323.7,10800
54,0.5247296201872099,0.20240493401420964,0.312677272431425,0.08234389047574059,7.0,7852.2,263.3,11000
55,0.5247296201872099,0.20180556942825945,0.3145005376624014,0.08113836647987707,7.0,7852.2,263.3,11200
56,0.5247296201872099,0.20587267415651778,0.3241750077291533,0.08950897848359024,7.0,7852.2,263.3,11400
57,0.5247296201872099,0.21234903364922733,0.3314038046876678,0.09099321429248382,7.0,7852.2,263.3,11600
58,0.5247296201872099,0.20949311825120595,0.3339282673454626,0.09578259964763326,7.0,7852.2,263.3,11800
59,0.5348743428506696,0.2169181830580919,0.3332871161499279,0.0908745652581812,6.0,6797.2,223.60000000000002,12000
60,0.5348743428506696,0.20550443876667632,0.3347278744262773,0.1006323717220952,6.0,6797.2,223.60000000000002,12200
61,0.6639304342211849,0.20801698121114426,0.3393172916919182,0.10256724116440961,5.0,6181.0,163.8,12400
62,0.6639304342211849,0.2118216345075965,0.3461034231407062,0.10382359078717024,5.0,6181.0,163.8,12600
63,0.6639304342211849,0.21913255793505051,0.3378671246262999,0.09703697332378736,5.0,6181.0,163.8,12800
64,0.6639304342211849,0.21897481446362665,0.34747854449202803,0.10949926234982027,5.0,6181.0,163.8,13000
65,0.6639304342211849,0.22327779901305425,0.36101509034848855,0.11478049420446282,5.0,6181.0,163.8,13200
66,0.6639304342211849,0.2333092021050727,0.3781751854120035,0.11805212603587562,5.0,6181.0,163.8,13400
67,0.6639304342211849,0.22689715319632053,0.3704641016764053,0.11965834696461351,5.0,6181.0,163.8,13600
68,0.6639304342211849,0.22367454629646033,0.3717520964470758,0.12846884789409016,5.0,6181.0,163.8,13800
69,0.6639304342211849,0.21672154089034873,0.38170500878379615,0.14177831205264566,5.0,6181.0,163.8,14000
70,0.6639304342211849,0.22303684323053552,0.404855230777431,0.14722292216012914,5.0,6181.0,163.8,14200
71,0.7394935774090524,0.21209709131642024,0.40481953257173425,0.14751092971936802,4.0,4703.2,111.89999999999999,14400
72,0.7394935774090524,0.22687568055758595,0.4031683846768502,0.14682017984331405,4.0,4703.2,111.89999999999999,14600
73,0.7394935774090524,0.21075386834276,0.40606808087392643,0.153753127362911,4.0,4703.2,111.89999999999999,14800
74,0.7394935774090524,0.22267174489261324,0.39757981356542027,0.15603011949586026,4.0,4703.2,111.89999999999999,15000
75,0.7394935774090524,0.2274057535050072,0.41103351200797145,0.1554698050214789,4.0,4703.2,111.89999999999999,15200
76,0.7394935774090524,0.20261404757437773,0.41749946188614656,0.16428649372366902,4.0,4703.2,111.89999999999999,15400
77,0.7394935774090524,0.23025422316717664,0.4575434730617125,0.16305373549922378,4.0,4703.2,111.89999999999999,15600
78,0.7394935774090524,0.2232632369205509,0.43974010179097883,0.16512695028906807,4.0,4703.2,111.89999999999999,15800
79,0.7394935774090524,0.2329800453701896,0.45476266230686785,0.17787911288411057,4.0,4703.2,111.89999999999999,16000
80,0.7984067765530649,0.2244362733794246,0.44603719589557017,0.18735952922376453,3.0,3852.7,84.9,16200
81,0.7984067765530649,0.23242651092353556,0.4623503006583881,0.182390028412849,3.0,3852.7,84.9,16400
82,0.8890017365400318,0.22351986422621314,0.4529230476103703,0.18643462598860813,3.0,3648.2,72.19999999999999,16600
83,1.0889674645016052,0.21208443154267742,0.4507983390304154,0.19165141926056198,2.0,2797.7,45.199999999999996,16800
84,1.0889674645016052,0.2219671215403613,0.44898258005640096,0.20209250585534863,2.0,2797.7,45.199999999999996,17000
85,1.0889674645016052,0.20326994020510447,0.48900465525780296,0.23350828601098045,2.0,2797.7,45.199999999999996,17200
86,1.0889674645016052,0.21591965508056776,0.5070823179630277,0.26109626777290895,2.0,2797.7,45.199999999999996,17400
87,1.0889674645016052,0.20630948245800398,0.568741058713064,0.2843594894198809,2.0,2797.7,45.199999999999996,17600
