Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness
0,0.3822738250772675,1e-08,0.22369223391214377,0.1268130363089422
1,0.3822738250772675,1e-08,0.22435018155416667,0.13630262515003805
2,0.3822738250772675,1e-08,0.2358330266748171,0.13974576183618023
3,0.3822738250772675,1e-08,0.24286706037106445,0.1416725566916658
4,0.3822738250772675,1e-08,0.2253895685883497,0.14567331670021597
5,0.3822738250772675,1e-08,0.237397278603187,0.14302344068739503
6,0.3822738250772675,1e-08,0.2403939123164789,0.14420446329252123
7,0.3822738250772675,1e-08,0.23759948040824427,0.14928643799119035
8,0.3822738250772675,1e-08,0.23681884432695455,0.1524324618762225
9,0.38802752849689487,1e-08,0.2509981155095489,0.14910901572045887
10,0.38822752849689485,1e-08,0.24218782602665367,0.15090770655838107
11,0.38822752849689485,1e-08,0.25650496874373196,0.1443877802251278
12,0.38822752849689485,1e-08,0.25746857208869156,0.14681801975765427
13,0.38822752849689485,1e-08,0.24133397172877427,0.15179364097154616
14,0.38822752849689485,1e-08,0.23825981547845657,0.15457819927370475
15,0.38822752849689485,1e-08,0.24428554033083477,0.15138129781092696
16,0.38822752849689485,1e-08,0.24244592400452536,0.1546655994839484
17,0.38822752849689485,1e-08,0.245372765880972,0.15396392375040552
18,0.38822752849689485,1e-08,0.24937490489317354,0.15406101768686645
19,0.38822752849689485,1e-08,0.24258544826289716,0.15464665873813477
20,0.38822752849689485,1e-08,0.2770428283144329,0.14153315578635636
21,0.3907987629701039,1e-08,0.26320484943235367,0.15348622384987703
22,0.3907987629701039,1e-08,0.2607654058160047,0.15200945126278143
23,0.3907987629701039,1e-08,0.2864733877081985,0.13724378317732008
24,0.3907987629701039,1e-08,0.25249597993852785,0.16228284456966027
25,0.39268999744331307,1e-08,0.28355543573169173,0.14701316437622913
26,0.39268999744331307,1e-08,0.27133213825306424,0.1573193448430645
27,0.39268999744331307,1e-08,0.28234980375679036,0.15189663975487666
28,0.39268999744331307,1e-08,0.2676475573303269,0.16016725590343905
29,0.39268999744331307,1e-08,0.27227631352951087,0.15785230238844017
30,0.39268999744331307,1e-08,0.2933412444702966,0.14269911366843402
31,0.39268999744331307,1e-08,0.27888934288528067,0.15297243500438026
32,0.39268999744331307,1e-08,0.2782515519261529,0.1534456085947508
33,0.39394123191652225,1e-08,0.28598958630011795,0.15156734714589748
34,0.39394123191652225,1e-08,0.250805689508225,0.1687814060479832
35,0.39394123191652225,1e-08,0.2598130192284204,0.16400176214398265
36,0.39394123191652225,1e-08,0.27286571269990373,0.16052350745114338
37,0.39394123191652225,1e-08,0.27993865647916666,0.15593984446335163
38,0.39394123191652225,1e-08,0.30198119242110294,0.14316497561200658
39,0.39394123191652225,1e-08,0.2843631131590651,0.15548417135267684
40,0.3939945652498556,1e-08,0.27234053990623197,0.16256927871955376
41,0.3939945652498556,1e-08,0.2688797622788321,0.16584862551999727
42,0.3939945652498556,1e-08,0.30895227047808355,0.1425605409381117
43,0.3939945652498556,1e-08,0.30519634882028696,0.14727451424417426
44,0.3939945652498556,1e-08,0.2660311213297251,0.1720441429630868
45,0.3939945652498556,1e-08,0.27200162313178555,0.1677248432670469
46,0.3939945652498556,1e-08,0.266811843120855,0.17252587304491832
47,0.3939945652498556,1e-08,0.2620639395788923,0.1749607052515261
48,0.3939945652498556,1e-08,0.2641326892881571,0.17351012965664075
49,0.3939945652498556,1e-08,0.27408585850126854,0.16871115450261182
50,0.39773913305639796,1e-08,0.2875753428481682,0.1623187210091895
51,0.39773913305639796,1e-08,0.28631799477804976,0.16445183027120988
52,0.39773913305639796,1e-08,0.30188462143248845,0.1546394005793743
53,0.39784579972306466,1e-08,0.28827450087096573,0.16252221498559868
54,0.39784579972306466,1e-08,0.30983582941117616,0.1489821195754801
55,0.39784579972306466,1e-08,0.29242972135328565,0.1618043713537837
56,0.39784579972306466,1e-08,0.2934415485099918,0.16235381253399372
57,0.39784579972306466,1e-08,0.29853860355074385,0.16191741243237698
58,0.39784579972306466,1e-08,0.31909481851260113,0.14652446811214248
59,0.39784579972306466,1e-08,0.2964724653495932,0.16400828370586604
60,0.39784579972306466,1e-08,0.29837166609397753,0.16206207000036987
61,0.39784579972306466,1e-08,0.27928845770575056,0.1743574991768224
62,0.39784579972306466,1e-08,0.28848500469663974,0.16833066811926053
63,0.39784579972306466,1e-08,0.2929319354619752,0.16784104700834598
64,0.39784579972306466,1e-08,0.3040567359381812,0.16173973100202532
65,0.39784579972306466,1e-08,0.29603126376006883,0.16663537030704098
66,0.39784579972306466,1e-08,0.31092046325780137,0.15583891257084306
67,0.39784579972306466,1e-08,0.28876083273106345,0.17135815902001764
68,0.39784579972306466,1e-08,0.29004200802455465,0.17207071742388258
69,0.39784579972306466,1e-08,0.31581081952365203,0.1547960211314807
70,0.39784579972306466,1e-08,0.2839203728054497,0.1743082508174645
71,0.39784579972306466,1e-08,0.3367983892129694,0.13615311841294525
72,0.39784579972306466,1e-08,0.3113839266787526,0.15908476026691057
73,0.39784579972306466,1e-08,0.3041806207532592,0.16478327581458427
74,0.39784579972306466,1e-08,0.32754373275011556,0.1466115850951243
75,0.39784579972306466,1e-08,0.3037350298111761,0.16453726617641315
76,0.39784579972306466,1e-08,0.3172100721808733,0.15540919193936897
